Sno,Name,Author,User Rating,Reviews,Price,Genre,Source,PurchaseRatio
1,10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,Non Fiction,Amazon,87
2,11/22/63: A Novel,Stephen King,4.6,2052,22,Fiction,Amazon,43
3,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,Non Fiction,Amazon,19
4,1984,George Orwell,4.7,70425,7.48,Fiction,Amazon,43
5,1984 (Signet Classics),George Orwell,4.7,21424,6,Fiction,Amazon,73
6,5000 Awesome Facts -(About Everything!),National Geographic Kids,4.8,7665,12,Non Fiction,Amazon,80
7,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,Fiction,Amazon,51
8,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,Fiction,Amazon,61
9,A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,Fiction,Amazon,15
10,A Higher Loyalty: Truth-Lies-an- Leadership,James Comey,4.7,5983,3,Non Fiction,Amazon,71
11,A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,Fiction,Amazon,63
12,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,Non Fiction,Amazon,33
13,A Promised Land,Barack Obama,4.9,83212,23,Non Fiction,Amazon,85
14,A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,Non Fiction,Amazon,47
15,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,Fiction,Amazon,89
16,Act Like a Lady- Think Like a Man: What Men Really Think About Love- Relationships- Intimacy- and Commitment,Steve Harvey,4.6,5013,17,Non Fiction,Amazon,19
17,Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs- Mandalas- Animals- and Paisley Patterns,Adult Coloring Book Designs,4.5,2313,4,Non Fiction,Amazon,53
18,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6,Non Fiction,Amazon,77
19,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6,Non Fiction,Amazon,25
20,Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers- Animals- and Paisley???????,Coloring Books for Adults,4.5,2426,8,Non Fiction,Amazon,81
21,Alexander Hamilton,Ron Chernow,4.8,9198,13,Non Fiction,Amazon,57
22,All the Light We Cannot See,Anthony Doerr,4.6,36348,14,Fiction,Amazon,80
23,Allegiant,Veronica Roth,3.9,6310,13,Fiction,Amazon,67
24,American Dirt (Oprah's Book Club),Jeanine Cummins,4.6,41716,17,Fiction,Amazon,13
25,American Marxism,Mark R. Levin,4.8,33712,12.52,Non Fiction,Amazon,30
26,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9,Non Fiction,Amazon,89
27,And the Mountains Echoed,Khaled Hosseini,4.3,12159,13,Fiction,Amazon,55
28,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5,Non Fiction,Amazon,75
29,Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9,Non Fiction,Amazon,47
30,Atlas of the Heart: Mapping Meaningful Connection and the Language of Human,Brené Brown,4.8,13893,17.78,Non Fiction,Amazon,17
31,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,29634,12,Non Fiction,Amazon,15
32,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,104159,11.98,Non Fiction,Amazon,80
33,Autobiography of Mark Twain- Vol. 1,Mark Twain,4.2,491,14,Non Fiction,Amazon,31
34,Baby Touch and Feel: Animals,DK,4.6,5360,5,Non Fiction,Amazon,85
35,Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11,Non Fiction,Amazon,57
36,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24,Non Fiction,Amazon,89
37,Barefoot Contessa- How Easy Is That?: Fabulous Recipes & Easy Tips,Ina Garten,4.7,615,21,Non Fiction,Amazon,80
38,Becoming,Michelle Obama,4.8,61133,11,Non Fiction,Amazon,20
39,Becoming,Michelle Obama,4.8,99498,10,Non Fiction,Amazon,25
40,Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15,Non Fiction,Amazon,35
41,Between the World and Me,Ta-Nehisi Coates,4.7,10070,13,Non Fiction,Amazon,61
42,Big Shot (Diary of a Wimpy Kid,Jeff Kinney,4.9,19470,7.49,Fiction,Amazon,75
43,Born to Run,Bruce Springsteen,4.7,3729,18,Non Fiction,Amazon,81
44,Breaking Dawn (The Twilight Saga- Book 4),Stephenie Meyer,4.6,9769,13,Fiction,Amazon,83
45,Broke: The Plan to Restore Our Trust- Truth and Treasure,Glenn Beck,4.5,471,8,Non Fiction,Amazon,15
46,Brown Bear- Brown Bear- What Do You See?,Bill Martin Jr.,4.9,14344,5,Fiction,Amazon,40
47,Burn After Writing,Sharon Jones,4.6,26423,8,Non Fiction,Amazon,82
48,Cabin Fever (Diary of a Wimpy Kid- Book 6),Jeff Kinney,4.8,4505,5,Fiction,Amazon,15
49,Call Us What We Carry: Poems,Amanda Gorman,4.8,4153,13.58,Fiction,Amazon,61
